State,District,Taluk,Place,pincode
TELANGANA,Adilabad,Luxettipet,Andugulpet,504231
TELANGANA,Adilabad,Chennur,Annaram,504201
TELANGANA,Adilabad,Adilabad,Arli (T),504312
TELANGANA,Adilabad,Asifabad,Bambara,504295
TELANGANA,Adilabad,Nirmal,Bangalpet,504106
TELANGANA,Adilabad,Nirmal,Bansapalli,504306
TELANGANA,Adilabad,Sirpur (t),Bejjur,504299
TELANGANA,Adilabad,Khanapur,Bellalbadi,504202
JHARKHAND,Hazaribag,Padma,Jihu,825411
JHARKHAND,Hazaribag,Katkamsandi,Kadma,825302
JHARKHAND,Chatra,Chatra,Kanhachatti,825401
JHARKHAND,Chatra,Gidhaur,Karni,825408
JHARKHAND,Chatra,Pratappur,Kaura,825404
JHARKHAND,Koderma,Kodarma,Kodarma,825410
JHARKHAND,Hazaribag,Katkamsandi,Lilanagar,825302
JHARKHAND,Hazaribag,Sadar,Maheshra,825313
JHARKHAND,Koderma,Kodarma,Masnodih,825407
JHARKHAND,Koderma,Kodarma,Murukmanai,825418
JHARKHAND,Hazaribag,Barkagaon,Pandu,825311
JHARKHAND,Chatra,Simaria,Piri,825103
UTTAR PRADESH,Mahoba,Hamirpur,Bijaypur,210429
UTTAR PRADESH,Hamirpur,Hamirpur,Bilgaon,210432
UTTAR PRADESH,Mahoba,NA,Bilkhi,210433
UTTAR PRADESH,Hamirpur,Hamirpur,Chhani Buzurg,210501
WEST BENGAL,Bardhaman,Barabani,Kalajhoria,713325
WEST BENGAL,Bardhaman,Durgapur Mc,Kamalpur,713204
WEST BENGAL,Bardhaman,Baraboni,Kelejora,713334
WEST BENGAL,Bardhaman,Barabani,Kendua,713343
WEST BENGAL,Bardhaman,Jamuria,Mandalpur,713336
WEST BENGAL,Bardhaman,Barabani,Mithani,713371
WEST BENGAL,Bardhaman,Asansol Mc,Narsinghbandh,713325
